Entity,Code,Year,GDP per capita
United States,USA,1650,897
United States,USA,1720,1768.99
United States,USA,1775,2419
United States,USA,1800,2545.49
United States,USA,1801,2591.77
United States,USA,1802,2635.48
United States,USA,1803,2590.48
United States,USA,1804,2587.91
United States,USA,1805,2643.19
United States,USA,1806,2690.76
United States,USA,1807,2717.76
United States,USA,1808,2526.2
United States,USA,1809,2652.19
United States,USA,1810,2725.47
United States,USA,1811,2780.75
United States,USA,1812,2731.9
United States,USA,1813,2762.75
United States,USA,1814,2815.46
United States,USA,1815,2803.89
United States,USA,1816,2690.76
United States,USA,1817,2688.19
United States,USA,1818,2694.62
United States,USA,1819,2690.76
United States,USA,1820,2674.05
United States,USA,1821,2715.19
United States,USA,1822,2791.04
United States,USA,1823,2760.18
United States,USA,1824,2836.03
United States,USA,1825,2897.74
United States,USA,1826,2918.31
United States,USA,1827,2929.88
United States,USA,1828,2929.88
United States,USA,1829,2833.46
United States,USA,1830,3039.16
United States,USA,1831,3225.57
United States,USA,1832,3342.56
United States,USA,1833,3459.55
United States,USA,1834,3294.99
United States,USA,1835,3419.7
United States,USA,1836,3469.83
United States,USA,1837,3360.56
United States,USA,1838,3329.7
United States,USA,1839,3491.69
United States,USA,1840,3319.42
United States,USA,1841,3252.57
United States,USA,1842,3223
United States,USA,1843,3274.42
United States,USA,1844,3453.12
United States,USA,1845,3505.83
United States,USA,1846,3526.4
United States,USA,1847,3618.96
United States,USA,1848,3712.81
United States,USA,1849,3616.39
United States,USA,1850,3631.82
United States,USA,1851,3778.38
United States,USA,1852,3971.22
United States,USA,1853,4242.48
United States,USA,1854,4254.05
United States,USA,1855,4161.49
United States,USA,1856,4247.62
United States,USA,1857,4156.34
United States,USA,1858,4176.91
United States,USA,1859,4288.76
United States,USA,1860,4401.89
United States,USA,1861,4311.9
United States,USA,1862,4446.89
United States,USA,1863,4733.58
United States,USA,1864,4889.14
United States,USA,1865,4637.16
United States,USA,1866,4599.88
United States,USA,1867,4751.58
United States,USA,1868,4815.86
